Année,Catégorie,Sous-catégorie,Valeur
2015,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,208.885
2016,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,191.275
2017,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,253.495
2018,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,369.652
2019,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,409.248
2020,Indicateur macroeconomique,Atifs exterieurs nets total - BCEAO - Creances sur les non-residents - Avoirs officiels de reserve,891.02
1970,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1971,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1972,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1973,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1974,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1975,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1976,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1977,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1978,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1979,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1980,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1981,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1982,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1983,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1984,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1985,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1986,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1987,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1988,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1989,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1990,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1991,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1992,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1993,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1994,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1995,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1996,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1997,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1998,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1999,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2000,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2001,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2002,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2003,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2004,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2005,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2006,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2007,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2008,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2009,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2010,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2011,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2012,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2013,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2014,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2015,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2016,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2017,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2018,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2019,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
2020,Indicateur macroeconomique,Taux de couverture de l'emission monetaire
1970,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1971,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1972,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1973,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1974,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1975,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1976,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1977,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1978,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1979,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1980,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1981,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1982,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1983,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1984,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1985,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1986,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1987,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1988,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1989,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1990,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1991,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1992,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1993,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1994,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1995,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1996,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1997,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation
1998,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,9.21
1999,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,-4.63
2000,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,-0.05
2001,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,5.5
2002,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,5.16
2003,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,3.74
2004,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,-3.52
2005,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,2.45
2006,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,3
2007,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,5.41
2008,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,11.59
2009,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,2.51
2010,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,6.46
2011,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,10.45
2012,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,-0.3
2013,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,1.93
2014,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,-2.1
2015,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,2.04
2016,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,3.06
2017,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,0.63
2018,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,0.46
2019,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,1.44
2020,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction alimentation,4.18
1970,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1971,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1972,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1973,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1974,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1975,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1976,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1977,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1978,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1979,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1980,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1981,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1982,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1983,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1984,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1985,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1986,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1987,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1988,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1989,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1990,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1991,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1992,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1993,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1994,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1995,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1996,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1997,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants"
1998,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
1999,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2000,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2001,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2002,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2003,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2004,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0
2005,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.87
2006,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",-2.92
2007,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",3.09
2008,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",5.06
2009,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.15
2010,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",-0.79
2011,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",3.57
2012,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",-0.34
2013,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.22
2014,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.35
2015,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",1.43
2016,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.36
2017,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",1.38
2018,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",-0.35
2019,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",-0.67
2020,Taux d'inflation en moyenne annuelle,"Taux d'inflation en moyenne annuelle de la fonction Boissons alcoolisees, Tabac et stupefiants",0.73
1970,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1971,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1972,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1973,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1974,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1975,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1976,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1977,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1978,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1979,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1980,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1981,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1982,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1983,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1984,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1985,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1986,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1987,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1988,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1989,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1990,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1991,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1992,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1993,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1994,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1995,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1996,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1997,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement
1998,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,2.71
1999,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,4.8
2000,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,0.31
2001,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,3.62
2002,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-2.61
2003,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-0.99
2004,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,0.25
2005,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,1.66
2006,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-0.5
2007,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-0.38
2008,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-0.79
2009,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-1.53
2010,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-0.06
2011,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,3.42
2012,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,2.98
2013,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,6.88
2014,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,3.43
2015,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,2.56
2016,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,-1.93
2017,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,2.35
2018,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,0.06
2019,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,1.04
2020,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction habillement,1.84
1970,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1971,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1972,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1973,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1974,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1975,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1976,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1977,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1978,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1979,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1980,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1981,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1982,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1983,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1984,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1985,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1986,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1987,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1988,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1989,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1990,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1991,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1992,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1993,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1994,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1995,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1996,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1997,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement
1998,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.08
1999,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,3.98
2000,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.63
2001,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,3.48
2002,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,3.79
2003,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,6.49
2004,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.62
2005,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,8.53
2006,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.71
2007,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,-0.44
2008,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,4.51
2009,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,0.08
2010,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.15
2011,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.85
2012,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,2
2013,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,2.05
2014,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.64
2015,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.48
2016,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,0.21
2017,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,1.05
2018,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,2.07
2019,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,0.22
2020,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction Ameublement,3.02
1970,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1971,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1972,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1973,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1974,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1975,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1976,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1977,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1978,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1979,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1980,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1981,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1982,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1983,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1984,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1985,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1986,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
1987,Taux d'inflation en moyenne annuelle,Taux d'inflation en moyenne annuelle de la fonction logement
